model,description
corsa,"RED, POWER STEERING, Electric windows, Central locking, Sunroof. This trade px drives well. VGC throughout. MOT 17TH JULY 2015., 5 seats, Would put full mot on for extra £95.00.Ideal first car or learner. PLEASE NO OFFERS., £395"
polo,"GREEN, IDEAL FOR FIRST TIME DRIVERS,LOADS OFF INVOICE'S, MILEAGE CHECKED AND VERIFIED, CHEAP INSURANCE AND LOW ON ROAD TAX, EXCELLENT ON FUEL, Next MOT due 15/12/2015, Service history, DRIVE'S SUPERB, PART EXCHANGE CARS PRICE WILL BE DIFFERENT ALL WELCOME, WE CAN ARRANGE ROAD TAX FOR YOU 7 DAYS A WEEK FOR NEW BUYER. WE ACCEPT ALL MAJOR DEBIT & CREDIT CARDS. WE HAVE OVER 100 CARS IN STOCK. PLEASE VISIT OUR WEBSITE, WWW.A47CARS.COM. DELIVERY AVAILABLE NATIONWIDE £2 A MILE ANYWHERE IN THE U.K, WHY NOT GIVE US A CALL AND BOOK A TEST DRIVE TODAY VIEWING BY APPOINTMENT CALL US 01733 734685 OR 07440360452, a47cars@hotmail.com. OUR ADDRESS IS EYE GREEN INDUSTRIAL ESTATE 1 CROWLAND ROAD PE6 7TN, £586"
fiesta,"BLUE, p/x to clear no mot sold for spares or repair, In Car Entertainment. 5 seats, nice alloy wheels two keys central locking cd player, £195"
corsa,"SILVER, SOLD FOR SPARES Or REPAIRS., Electric Windows, In Car Entertainment. 5 seats, FINANCE ARRANGED. PLS Call Reece to arrange a viewing 07552330330 - or 01277 724710, £190"
polo,"SILVER, Air-Conditioning, Climate Control, Electric Windows, In Car Entertainment. 5 seats, STARTS AND RUNS BUT ENGINE HAS A MISS FIRE + THIS IS BEING SOLD FOR SPARES OR FOR REPAIR + TRADE SALES + NO MOT + STACKS OF SERVICE HISTORY +, £489 p/x considered"
500,"WHITE, Upgrades - 500 Stripe, Leather, Side Stripe, Leather Steering Wheel with Commands, Split Folding Rear Seat with Head Restraints, Alloy Wheels 16in (Sport), 3 months warranty, 12 months MOT, Last serviced on 09/08/2012 at 58,583 miles, Clean bodywork, Black Full leather interior - Clean Condition, Tyre condition Good, Standard Features - Electric Windows, In Car Entertainment, Air conditioning, Electric door mirrors, Remote central locking, Traction control, CD Player. 4 seats, This car comes fully serviced and have 12 months M.O.T, 3 month warranty and are HPI clear, £4,500 p/x poss"
500,"Metallic SILVER, FREE 2 YEAR SERVICING WITH THIS VEHICLE, Upgrades - Metallic Paint, Electric Mirrors - Body Coloured, Leather Steering Wheel with Commands, Red Cloth interior, Standard Features - Electric Windows, In Car Entertainment. 4 seats, £4,590 p/x welcome"
focus,"the car is good runner, BLUE, 5 seats, £350"
polo,"1.9 D CL 3dr Service History, drives well, good condition, MOT, spare keys, 2 former lady owners, 4 new tyres, mechanically sound.., RED, Electric windows, Power steering, Steering wheel rake adjustment. 5 seats, £650"
corsa,"Metallic STAR SILVER, Vauxhall Corsa 1.0 i 12v Envoy 3dr, 12 MONTH MOT ISSUED ON THE SALE!, VIEWING IS ESSENTIAL & HIGHLY RECOMENDED, GUARANTEED HPI CLEAR, IDEAL 1st CAR or VERY CHEAP LITTLE RUNABOUT, LOW MILEAGE~~LOW MILEAGE, EXTREMELY ECONOMICAL, EXCELLENT RUNNER, LOW INSURANCE GROUP £££ LOW INSURANCE £££ LOW INSURANCE!!, 5 SPEED GEAR BOX, In Car Entertainment, CD Player, Radio, Folding rear seats, GREAT SIZE BOOT, 12 MONTHS MOT~~~12 MONTHS MOT, EXTREMELY COMFORTABLE GREY CLOTH INTERIOR, HPI CLEAR---HPI CLEAR. 5 seats, VERY VERY EASY TO MAINTAIN & TO SOURCE PARTS, MANY MORE LOW INSURANCE VEHICLES AVAILABLE FOR UNDER & AROUND A £1000!!!!!, ALL DEMONSTRATIONS WELCOME - OVER 100 VEHICLES TO CHOOSE FROM - OPEN 7 DAYS A WEEK, £490"
polo,"BLUE, Next MOT due 01/08/2015, Electric Windows, In Car Entertainment. 5 seats, Very clean car,drives extremely  well,electric windows and mirrors,c/Locking, 1.4 engine,still being driven daily,no major issues with the car,cheap reliable runaround,mot till august, £695"
polo,"I'm selling my Volkswagen Polo as have bought a new car. Is a good wee run around. Needs some TLC. Has scratches up both sides as pictured above. Electric windows broken. Perfect for a first car or for parts., RED, 3 owners, Next MOT due 29/04/2015, Part service history, Electric sunroof, Electric windows, Air conditioning, Folding rear seats, Alloy wheels, Spare wheel (Full), Driver's airbags, Passenger airbags. 4 seats, £350"
corsa,"WHITE, £390"
astra,"2 month's mot,, , Rust spot as seen in picture , New bulbs needed, Always starts first time, Lots of old mots and service, GREEN, Electric windows, MP3 player, Child seat points (Isofix system), Metallic paint. 5 seats, £325"
corsa,"Metallic SILVER, Cheap Corsa ... Already scratched & a few dents but Nov 2015 MOT (last of old model), In Car Entertainment. 5 seats, We are different, No high pressure salesmen - we are a small family run business, selling all our cars ourselves with 30 years experience, 70% of our custom is made up of word of mouth and repeat customers, many of which come back year after year for servicing, repairs and tyres, We offer a personal service, value for money and high quality cars, We have an onsite garage with tyre fitting bay staffed by 7 mechanics, Call & see us or visit our website and see what we can do to help, £450"
500,"Metallic BLACK, 101995 Miles, Next MOT due 28/11/2015, Full service history, Excellent bodywork, Interior - Excellent Condition, Tyre condition Good, 4 seats, 101995 Miles, Next MOT due 28/11/2015, Full service history, Excellent bodywork, Interior - Excellent Condition, Tyre condition Good, Air Bag Driver, Air Bag Knee, Air Bag Passenger, Air Bag Side, Central Door Locking, Electric Windows, Head Restraints, Immobiliser, In Car Entertainment, Mirrors External, Power-Assisted Steering, Seat Height Adjustment, Spare Wheel, Speakers, Steel Wheels, Upholstery Cloth, 3x3 point rear seat belts, Airbags, Central locking, CD Player, Height adjustable drivers seat, Radio, Power steering, Electric windows, Electric door mirrors. 4 seats, HPI CHECKED, FINANCE & WARRANTY PACKAGES AVAILABLE. PLEASE VISIT WEBSITE FOR DETAILS AND MORE PHOTOS, HPI CHECKED, FINANCE & WARRANTY PACKAGES AVAILABLE. PLEASE VISIT WEBSITE FOR DETAILS AND MORE PHOTOS REF:AZEU, HPI CHECKED, FINANCE & WARRANTY PACKAGES AVAILABLE. PLEASE VISIT WEBSITE FOR DETAILS AND MORE PHOTOS, £4,000"
fiesta,"GREEN, Next MOT due 25/01/2015, Sunroof Manual, Alloy Wheels, In Car Entertainment. Please CALL or TXT  07557 900739 out of opening hours , Sorry we do not take offers on our cars, £345 p/x to clear"
fiesta,"SILVER, N/S FRONT DAMAGE, Electric Windows. TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos,com, £395"
golf,"This car has been in a garage for the last 2 years it is on a Sorn Declaration, It was a nice runner but no MOT on it needs a bit of work Open to offers, BLUE, Electric windows, Leather trim, Height adjustable driver's seat, Spare wheel (Space-saver), Power steering, Central locking, Alarm, Immobiliser, Driver's airbags. £400"
polo,"Solid blue, mot 30 10 15   f s h  nice car, Grey Cloth interior, 5 seats, cheap cars   p/x welcome, £395 p/x to clear"
polo,"RED, Next MOT due 20/11/2015, In Car Entertainment. 5 seats, VW POLO CLEAN CAR INSIDE AND OUT, WARRANTED MILEAGE WITH FULL VOSA HISTORY, HPI CLEAR,, CHEAP TO RUN, MECHANICAL SOUND, SMOOTH ENGINE CLUTCH AND GEARBOX, LONG MOT, FIRST TO SEE WILL BUY,, FOR MORE DETAILS PLZ CALL OR TAX MESSAGE 07526586325, Website www.hafizmotors.co.Uk. OPEN 7 DAYS.. LOCATION NELSON BRIERFIELD BB9 5NH, 3 GLEN WAY, £480"
corsa,"blue, Next MOT due 31/12/2015, Service history, Clean bodywork, Grey Cloth interior - Excellent Condition, Tyre condition Excellent, 5 seats, VIEWING BY APPOINTMENT 08.00 AM - 20.00 pm MONDAY TO SUNDAY, £395 p/x welcome"
polo,"V W POLO 1.4 MATCH Reg 51 Blue color coded Bumpers and dr mirrors 3/dr petrol 2 keys 6 CD changer Just had oil n filter change + new rear exhaust box (tx bnd F) v/g runner, BLUE, 3 owners, Next MOT due 01/06/2015, Part service history, Electric windows, Air conditioning, CD player, Height adjustable driver's seat, Power steering, Central locking, Immobiliser. 4 seats, £600"
focus,"SILVER, DENT ON N/S REAR WHEELARCH, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos .com, £295"
corsa,"Metallic SILVER, MOT'D - POWER STEERING - DRIVES REALLY WELL - ECONOMICAL 1.4 - CHEAP TO INSURE, TAX AND RUN, Cloth interior, Sunroof Manual, Computer, In Car Entertainment. 5 seats, £399"
focus,"mot,black,goog condition, BLACK, 5 seats, £499"
golf,"Great car, good runner, starts first time, doesn't smoke. A few scuffs and scratches as expected from a car of this age. Company car forces sale. Please call if you would like to view or test drive. My new dog managed to chew a little of the back seat and rear headrest, shown in photo. Mot'd until October. Open to offers, BLACK, Electric windows, Air conditioning, CD player, Height adjustable driver's seat, Folding rear seats, Child seat points (Isofix system), Spare wheel (Full), Power steering, Central locking, Alarm, Driver's airbags, Passenger airbags. 5 seats, £450"
focus,"SILVER, HAS ISSUES WITH BRAKES, Next MOT due 01/10/2015, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, REQUIRES BRAKE SERVO UNIT , HENCE PRICE, Please CALL or TXT  07557 900739 out of opening hours , Sorry we do not take offers on our cars, £300 p/x to clear"
corsa,"BLACK, Next MOT due 14/05/2016, In Car Entertainment. 5 seats, VIEWINGS BY APPOINTMENTS ONLY, £495 p/x welcome"
golf,"*58,000 MILES* MOT DUE NOVEMBER, LARGELY IN GREAT CONDITION, Selling as it has an intermittent engine problem. One small dent on the front otherwise in good condition. Would be fantastic as a project or for parts. Very low mileage due to OAP owning for most of it's life., BLUE, 3 owners, Next MOT due 01/11/2015, Full service history, Power steering, Central locking. 5 seats, £200"
focus,"BLUE, Won't take much to MOT, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, £250"
fiesta,"Ford fiesta Encore 1.3L 57,000 miles on the clock ideal first car or little run around. Need a quick sale as relocating and will not need the car. MOT until november, BLUE, 5 seats, £300"
corsa,"Metallic yellow, +++ MOT MARCH 19TH 2016 +++, Cloth interior, 5 seats, £499"
focus,"BLACK, Good runer, Air-Conditioning, Alloy Wheels, Electric Windows, Heated Front Screen, In Car Entertainment. 5 seats, £495"
golf,"RED, Next MOT due 25/02/2016, No service history, Grey Cloth interior, Viewings and test drives by appointment so phone now to avoid disappointment. Sundays after 12.30., £200"
500,"MET CANDY RED, Genuine Mileage 27000 Miles , Just Been Serviced , Mot APRIL 2016 , £30 Years Road Tax ,, Start/Stop System, Power steering, Airbags, Electric Front Windows, Electric door mirrors, Remote central locking, Radio/CD/MP3 Player, Immobiliser, Height adjustable drivers seat, Folding rear seats, Half Leather Seats. 4 seats, CAR IS ON V - REGISTER ( MINOR DAMAGE TO DRIVERS WING & BUMPER NOW FULLY REPAIRED WITH GENUINE PARTS TO IT'S MANUFACTURES STANDARD )  HAS BEEN CHECKED BY VOSA WITH PASS CERTIFICATE --- ( OWNERS DETAILS TWO FORMER KEEPERS ) Every Thing Works On This Car Works Fine , This Car Is In Outstanding Condition & Drives Superb , Any Inspection Well Come , You Will Not Be Disapointed With This Lovely Looking Fiat 500 , With Hpi Report. Please note before you make any silly offers do your home work & check with the value of this car by the year & mileage it's worth £5,837 that is autotrader value but my price is £4,175  --- OPEN 7 DAYS A WEEK ---, £4,175"
astra,"Astra CD 1.6 16v, MOT january 2016, , Remote Central Locking, Spare Remote Key, Alloy Wheels, Driver and Passenger Airbags, Front Electrics, Heated Electric Mirrors, MP3 CD player, New wipers (front and back), 4 Good tyres, , The front bumper, bonnet and passenger side doors are replacement parts and are a different shade of silver, these were due to scrapes (bonnet due to rust). , , Had new coil packs and an exhaust back box fitted last year, also serviced around this time last year., , Other than a few scrapes to the bodywork (shown in pics), no probs with car, drives perfect, mot runs out around the middle of January next year., SILVER, 5 seats, £380"
focus,"GOLD, Next MOT due 20/05/2016, 5 seats, Ford Focus 1.8i Zetec, Long Mot, Alloy Wheels, Electric Windows, Cd Player, Remote Locking, HPi Clear....................Nationwide Delivery Available...................., LOCATION: Small Heath Highway, Birmingham B10 0BW..... Next To Citroen Garage.... Open 7 Days...., £489 p/x poss"
polo,"GREEN, 5 seats, just arrived taken in px..excellent condition.. motorway miles..excellent drive... ideal first car.... any old car px welcome DAMAGED NON RUNNER ETCC ... LONG MOT TILL 2016,,,, £500"
corsa,"GREEN, 5 seats, MOT TILL = 21/10/2015 , JUST ARRIVED IN P/X 108000 MILES WITH VOSA MOT HISTORY + HPI CLEAR CERTIFICATE !!!  BODY NEEDS ATTENTION SOLD AS SEEN P/X CAR TO CLEAR GRAB A BARGAIN @ ONLY 450   TRADE SALE TO CLEAR FIRST TO SEE WILL BUY QUICK SALE TO CLEAR INTERNET PRICE ONLY ALL CARDS ACCEPTED OPEN 7 DAYS TILL LATE WE R 2 MINS OF M65 JUNCTION 12 ON CLITHEROE RD BRIERFIELD BB9 5PX PLEASE NOTE VEHICLES KEPT ON TWO SITES PLEASE RING IN ADVANCE TO VIEW NATIONWIDE DELIVERY AVAILABLE PLEASE RING FOR MORE DETAILS !!! EVERY EFFORT HAS BEEN MADE TO ENSURE THE ACCURACY OF THE ABOVE INFORMATION BUT ERRORS MAY OCCUR !!! PLEASE CLICK ON THE DEALER WEBSITE LINK TO SEE MORE PHOTO AND VIEW MORE VEHICLES www.clitheroeroadcarsales.co.uk, £450"
polo,"BLUE, 12 months MOT, Part service history, Alloy wheels, CD Player, Central locking, Radio, Electric windows, Power steering. 5 seats, PX welcome. We have finance available on all cars & PCP low payment plans on cars under 5yrs, Experian auto check clear, £599"
focus,"BLUE, DRIVE AWAY INSURANCE AVAILABLE, Upgrades - Alloy Wheels - 15in Vario-Y, Metallic Paint, Automatic Air-Conditioning, Next MOT due 02/02/2016, Standard Features - Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, OVER 350 CHEAP PX CARS IN STOCK SEE WEBSITE, THIS CAR IS AT CW97DR 07760670682, £490"
500,"BLACK, fully valeted, looks and drives great, full service history, moted, Upgrades - Alloy Wheels 15in Sport (Lounge), Body Coloured Side Rubbing Strips with 500 Logo, Sunroof, Standard Features - Electric Windows, In Car Entertainment, 3x3 point rear seat belts, Air conditioning, Airbags, Alarm, Alloy wheels, CD Player, Central locking, Electric door mirrors, Folding rear seats, Height adjustable drivers seat, Immobiliser, Power steering, Radio, Remote central locking. 4 seats, OPEN 7 DAYS A WEEK tel 0161 312 8657 - Call anytime Mob 07980 825 490, £4,450"
golf,"SILVER, BLUE/BLACK RECARO SEATS, FULL ELECTRICS, CASSETTE PLAYER, 6 CD CHANGER, AIR CON, ELECTRIC HEATED MIRRORS, POWER STEERING, ALLOY WHEELS, Upgrades - CD Autochanger - 6 Disc, Next MOT due 19/07/2015, Cloth interior, Standard Features - Air-Conditioning, Alarm, Alloy Wheels, Computer, Electric Windows, Airbags, Air conditioning, Alloy wheels, Remote central locking, Power steering, Folding rear seats, Electric door mirrors, Electric windows, Immobiliser, Central locking, Sports seats. 5 seats, ROOF SPOILER, 1 FORMER KEEPER, MOT TILL JULY 2015, SELLING AS SPARES OR REPAIRS HENCE PRICE, PX TO CLEAR NEEDS ATTENTION, HPI CLEAR., Experian auto check clear, £495 ono"
polo,"GREY, 5 seats, Volkswagen Polo,1.4 CL, 2 Lady Owners, Service History, Cambelt ,Water Pump, Clutch, All Changed At 128,000 Miles, Power Steering, Stereo, E/Windows, Alloys, Excellent Condition,, £550"
500,"YELLOW, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment, Tinted Glass. 4 seats, LOCATED IN WINSFORD, CHESHIRE. CW7 3BS, £3,995"
fiesta,"Hi and welcome to the sale of this great little 1.3 ford fiesta , Its in good condition for its age,  and will be perfect for a first car or someone looking for a cheap little runabout , Its excellent on fuel getting over 50 mpg , Its also really cheap to insure so you would be reddy to be on the road in no time, It runs and drives great and has good breaks and a strong clutch , its recently pass its MOT for 12 months, so you can be assured its had a good looking over , , Please feel free to give me a call anytime to come and take a look , , Its an old car so there is the odd mark/scratch here there , , ,  it has an MOT untill April 2016 , , The car is in Stockport sk7, BLUE, Power steering, Driver's airbags. 5 seats, £295"
fiesta,"GREEN, PART EXCHANGE TO CLEAR, Alloy wheels, Airbags, 3x3 point rear seat belts, Folding rear seats, Power steering, Immobiliser, Front Fog Lights. 5 seats, £395"
500,"WHITE, Electric Windows, In Car Entertainment. 4 seats, £4,490"
focus,"RED, ++ FULL 12 MONTHS MOT ++ ONLY 2 PREVIOUS OWNERS ++, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, LOOKS AND DRIVES WELL FOR AGE, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £490 p/x considered"
corsa,"Metallic BLUE, Tidy little car, drives very well. Needs the electric power steering resetting, Next MOT due 29/09/2015, In Car Entertainment. 5 seats, Trade sale, sold as seen, no warranty given or implied. Vehicle has been an insurance write-off, but repaired and used on the road again, Excellent finance rates available, £500"
golf,"Selling as I need something a bit bigger, car works perfectly apart from central locking. It's in great condition for age, cheap to insure and run so would be ideal as a first car. Includes CD player, power steering and spare wheel and key. 145,000 miles with part service history, 1.4 petrol engine, manual gearbox, 12 Months MOT (April 27th 2016), , £395 ONO, RED, £395"
500,"White, HPI CLEAR CERTIFICATE AVAILABLE 1 LADY OWNER FROM NEW WITH FULL SERVICE HISTORY PLUS VOSA HISTORY WARRANTED MILEAGE EXCELLENT CONDITION INSIDE AND OUT SPEAR KEY, Next MOT due 29/07/2015, Electric Front Windows, Radio/CD/MP3 Player, Airbags, Electric door mirrors, Alarm, Immobiliser, Traction control, Remote central locking, Power steering, Height adjustable drivers seat, Electric windows. 4 seats, Any inspection and test drive welcome part exchange welcome, £3,980"
500,"White, 1 owner, Blue & Me with USB port, Dualdrive PAS, MP3 compatible radio/single CD player, Body colour bumpers, Chrome exhaust tailpipe, Dark tinted rear windows, Electric adjustable door mirrors, Electric front windows, Front fog lights, Rear spoiler, 1 passenger grab handle, Chrome door sill trims, Cigar lighter, Front passenger underseat box, Glovebox with lid, Height adjustable drivers seat, Isofix child seat preparation, Seatback pockets, Sports leather steering wheel with audio commands, Sports seats, ABS/EBD, Driver and passenger airbags, Drivers knee airbag, Side airbags, Window airbags, Remote central locking, Space saver spare wheel. 4 seats, 500 1.2 S M-JET, £4,489"
corsa,"I have had this car for 6 months and it has been a very reliable and cheap to run first car. Only selling due to moving house and commuting. It has 5 Months MOT and has only done 94K Miles. , , I had new front tires  fitted in January and the brakes cleaned and serviced. Previous owner had a new battery and cam belt fitted, which is the most common and most expensive thing to need replacing, so the car shouldn't cause you any issues, and it is in great condition for age., , Unfortunately it is missing the logbook but I have details of the MOT and printed receipts for work done., , I have spare bulbs and a tap/aux lead adapter so you can connect an mp3/phone to the speakers., , I have listed the car at £375. It is worth more but I am looking for a quick sale. Please contact me if you would like more information/ test drive, but please no time wasters., BLUE, 5 seats, £375"
polo,"Metallic SILVER, FULL MOT HISTORY //CLEAN CAR KEPT IN GOOD CONDITION // DRIVES REALLY WELL //NON SMOKERS CAR //, Electric Windows, In Car Entertainment. BANK HOLIDAY WEEKEND 22/05/15 - 25/05/15 CARS OVER Â£1800 WILL COME WITH 1YR WARRANTY & 6 MONTHS TAX, £695 p/x welcome"
polo,"SILVER, In Car Entertainment. 5 seats, 4 month ..m.o.t.. 2 keys.. HPI clear..., good condition, drive superb... full service history ..., £650"
golf,"GREEN, Many more cars available visit our website www.stoodley.co.uk or telephone 0161 223 3882. Buy now or make an offer.  Many more cars not advertised available on site., Next MOT due 29/11/2015, Air-Conditioning, Alarm, Computer, Electric Windows, In Car Entertainment. AUCTION TERMS, CONDITIONS & AUCTION FEES APPLY.  ALL AVAILABLE ON BUY NOW OPTION, CALL 0161 223 3882, £495"
corsa,"GREY, HPI CLEAR, CHEAP 5 DOOR HATCHBACK , DRIVES WELL, LAST OWNER OF 11YEARS !{ always a good sign}, For More Information Or To Arrange A Test Drive Please Call 07905790078. www.straightlinecars.co.uk, £450 p/x to clear"
polo,"RED, DIRECT FROM INSURANCE COMPANY, In Car Entertainment. 5 seats, starts and drives,but, will require few bits to finish,delivery can be arranged.requires driver and passenger airbags., £695"
500,"Solid YELLOW, 6 MONTHS WARRANTY PARTS AND LABOUR HPI & AA CHECKED WITH CERTIFICATE CREDIT CARDS ACCEPTED FINANCE ARRANGED GOT BAD CREDIT GIVE US A CALL, 6 months warranty, Service history, Excellent bodywork, Black Part leather interior - Excellent Condition, Tyre condition Good, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment, Tinted Glass, 3x3 point rear seat belts, Air conditioning, Airbags, Alarm, Alloy wheels, CD Player, Central locking, Child locks & Isofix system, Electric windows, Folding rear seats, Power steering, Radio, Remote central locking. 4 seats, WE HAVE A WIDE RANGE OF CARS AND VANS IN STOCK FOR MORE DETAILS PLEASE VISIT OUR WEBSITE AT www.selectmotorsales.co.uk OR COME TO OUR SHOWROOM , OUR VEHICLES COME , *6 MONTHS WARRANTY PARTS AND LABOUR (STS), *HPI AND AA CHECKED WITH CERTIFICATE, *12 MONTHS AA BREAKDOWN , *1 YEARS MOT (STS), *FULLY VALETED, , FINANCE ARRANGED GOT BAD CREDIT BUT NEED A CAR OR VAN THEN GIVE A CALL WE HAVE FINANCE PACKAGES FOR ALL CREDIT RATINGS CALL 01708 560055, ALL MAJOR CREDIT CARDS ACCEPTED , WARRANTYS 1,3,6,12,24,26 AVAILABLE, ALL HPI CHECKED WITH CERTIFICATE , PART EXCHANGE WELCOME, FREE WARRANTY (STS) HPI & AA CHECKED CREDIT CARDS ACCEPTED FINANCE ARRANGED GOT BAD CREDIT CALL NOW, £4,490 p/x welcome"
fiesta,"GREEN, Upgrades - Air-Conditioning, Metallic Paint, Passenger Air Bag, FRONT FOG LIGHT, ALLOYS WHEEL, Next MOT due 29/07/2015, Standard Features - Alloy Wheels, In Car Entertainment. WE ARE OPEN 7 DAYS A WEEK FROM 10AM TO 7PM,FOR MORE CARS VISIT OUR WEB WWW.ASERMOTORS.CO.UK, £390 p/x considered"
corsa,"SILVER, Next MOT due 28/03/2016, Electric Windows, In Car Entertainment. 5 seats, ALL USUAL AUCTION TERMS AND CONDITIONS APPLY., POST CODE M26 2TA, FOR FULL STOCK LIST GO TO www.radcliffecarauctions.co.uk, SORRY WE CANNOT REPLY TO EMAILS., OUT OF HOURS MOBILE 07809387718., £490"
fiesta,"RED, Electric Windows, In Car Entertainment. 5 seats, £290"
polo,"RED, *** SERVICE HISTORY *** 2 FORMER KEEPERS *** READY TO DRIVE AWAY TODAY ***, Electric Windows, In Car Entertainment. 4 seats, All cars are priced to sell so take advantage, Vehicles are viewed by appointment only, £490"
focus,"SILVER, Cheap car to own and run, Ideal car if you are looking for high MPG, Excellent runner, Good bodywork compared to the age, Clean interior, Two new Tyres, Radiator and brake pads changed recently. Cart starts, but after driving a while something in the engine start to rotate very fast (probably clutch). No time to look into it anymore., SILVER, Next MOT due 01/08/2015, Part service history, Electric windows, Air conditioning, CD player, Height adjustable driver's seat, Folding rear seats, 14"" Alloy Wheels, Spare wheel (Full), Steering wheel rake adjustment, Roof rails, Central locking, Alarm, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £359"
focus,"Excellent engine, starts first time every time, has tow bar,, BLUE, Next MOT due 30/09/2015, Electric windows, Air conditioning, Heated seats, Height adjustable driver's seat, Folding rear seats, Metallic paint, Alloy wheels, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Roof rails, Central locking, Alarm, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £500"
500,"Metallic SILVER, FREE 12 MONTHS AA BREAKDOWN AND RECOVERY.......LOW INSURANCE.........GREAT MPG..........2X KEYS..........PART EXCHANGE WELCOME & FINANCE EASILY ARRANGED......, 12 months MOT, Service history, Excellent bodywork, Grey Cloth interior - Excellent Condition, Tyre condition Excellent, Electric Windows, In Car Entertainment. 4 seats, HPI CLEAR..........FULL 12 MONTH MOT..........FULL VOSA MOT HISTORY..........SERVICE HISTORY..........2X KEYS........FREE 12 MONTH AA BREAKDOWN AND RECOVERY.......TO VIEW COME DOWN TO OUR DEALERSHIP WE'RE  OPEN 7 DAYS A WEEK OR CALL 0191 4774570 OR 07811523322 ANYTIME........VIEW ALL OUR STOCK AT www.castlebridgemotorcompany.co.uk........AS ALWAYS PART EXCHANGE WELCOME AND FINANCE EASILY ARRANGED WITH VERY COMPETITIVE RATES AVAILABLE........WE'RE NOW ALSO OFFERING GUARANTEED CAR FINANCE WITH APPROVAL IN UNDER AN HOUR........BAD CREDIT? NOT A PROBLEM WITH CASTLEBRIDGE MOTOR COMPANY WE'VE GOT A 99% ACCEPTANCE RATE SO WE CAN  PRETTY MUCH GUARANTEE YOU'LL BE ACCEPTED, WE NOW WORK WITH LENDERS WHO CAN OFFER FINANCE TO EVERYONE EVEN IF YOU RECEIVE BENEFITS HAD CCJ'S, DEFAULTS,IVA'S OUR LENDERS CONSIDER ALL APPLICANTS & HAVE FINANCE PACKAGES TO SUIT EVERYONE SUBJECT TO STATUS, Experian auto check clear, £3,990 p/x welcome"
astra,"SILVER, WE HAVE JUST REDUCED THIS CAR SO BE QUICK  !!!, Next MOT due 09/07/2015, Good bodywork, Interior - Good Condition, Tyre condition Good, Electric Windows, In Car Entertainment. 5 seats, LOW INSURANCE GROUP, UK DELIVERY, FINANCE AVAILABLE, 85 Cars OFFERED, test drive welcome CALL 01274710599 or 07799080004, Experian auto check clear, £295 p/x welcome"
focus,"RED, Next MOT due 07/09/2015, Part service history, Electric windows, Air conditioning, Height adjustable driver's seat, Folding rear seats, 16"" Alloy Wheels, Spare wheel (Space-saver), Steering wheel rake adjustment, Central locking, Driver's airbags, Passenger airbags. £475"
500,"RED, VERY GOOD LOOKING CAR, Next MOT due 18/09/2015, Service history, Good bodywork, Grey Cloth interior - Good Condition, Tyre condition Good, Electric Windows, In Car Entertainment. 4 seats, GREAT VALUE FOR MONEY DRIVES SUPERB.PART EXCHANGE AND FINANCE ARRANGED IF REQUIRED, £3,995"
focus,"GREEN, 1 KEY, Next MOT due 03/09/2015, Part service history, Clean bodywork, Black Cloth interior - Clean Condition, Tyre condition Good, Alloy Wheels, Electric Windows, In Car Entertainment, CD Player, Alloy wheels, Central locking, Electric door mirrors, Immobiliser, Power steering, Radio. 5 seats, CHEAPEST IN THE UK AS PER THE CONDITION AND SPECIFICATION OF THE CAR, WE OFFER OUR SERVICES AFTER SALES AS WELL, LAST OWNER KEEP THIS CAR FOR 8 YEARS., PLEASE USE REG NUMBER AS REFERENCE !!! Thank you!!!, £385"
focus,"BLUE, 12 MONTHS MOT, Upgrades - Metallic Paint, Alarm - Interior Scan & Perimeter, Climate Pack - Air Conditioning, 12 months MOT, Standard Features - Adjustable Steering Column/Wheel, Air Bag Driver, Air Bag Passenger, Alloy Wheels, Central Door Locking, Deadlocks, Electric Windows, Head Restraints, Immobiliser, In Car Entertainment, Mirrors External, Power Socket, Power-Assisted Steering, Seat Height Adjustment, Self-Levelling Suspension, Spare Wheel, Speakers, Upholstery Cloth. VISIT OUR WEBSITE WWW.TRADECENTREWARRINGTON.CO.UK, £290"
